class_ID,group_name,more_details
0,Moose,NA
1,Cow,NA
2,california_quail,NA
3,coyote,NA
4,Elk,NA
5,american_marten,NA
6,American_crow,NA
7,armadillo,NA
8,wild_turkey,NA
9,opossum,NA
10,horse,Equus ferus (domestic horse)
11,human,NA
12,sylvilagus_family,desert cottontail; eastern cottontail; mountain cottontail; unk rabbit
13,bobcat,NA
14,striped_skunk,NA
15,dog,NA
16,cricetidae_muridae_families,unk vole; packrat/woodrat; unk deer mouse; bushy-tailed woodrat; muskrat; unk mouse; black rat
17,mule_deer,NA
18,white-tailed_deer,NA
19,raccoon,NA
20,mtn_lion,NA
21,california_ground_squirrel,NA
22,wild_pig,NA
23,grey_fox,NA
24,black_bear,NA
25,vehicle,ATV; truck
26,wolf,If other pics are added this will go up to 6370
27,empty,NA
28,other_mustelids,american badger; short-tailed weasel; long-tailed weasel; unk weasel; mink
29,gray_jay,NA
30,donkey,Equus africanus
31,black-tailed_jackrabbit,NA
32,snowshoe_hare,NA
33,marmota_genus,yellow-bellied marmot; woodchuck
34,porcupine,NA
35,grey_squirrel,NA
36,red_squirrel,NA
37,red_fox,NA
38,Accipitridae_family,golden eagle; unk accipiter; unk raptor; northern goshawk; swainson's hawk; ferruginous hawk
39,Anatidae_family,green-winged teal; blue-winged teal; unk duck
40,Bighorn_sheep,NA
41,black-billed_magpie,NA
42,black-tailed_prairie_dog,NA
43,canada_lynx,NA
44,clarks_nutcracker,NA
45,common_raven,NA
46,Domestic_sheep,Ovis aries
47,golden-mantled_ground_squirrel,NA
48,grizzly_bear,NA
49,grouse,dusky grouse; ruffed grouse
50,gunnisons_prairie_dog,NA
51,pacific_fisher,NA
52,Passeriformes,american robin; brewers blackbird;  brown-headed cowbird; dark-eyed junco; hermit thrush;  horned lark;house wren;lark bunting;  mccown's longspur; mountain chickadee;unk chickadee;  mountain bluebird; pine grosbeak;red-winged blackbird; vesper sparrow; western meadowlark; white-crowned sparrow
53,prairie_chicken,NA
54,Pronghorn,NA
55,river_otter,NA
56,stellers_jay,NA
57,swift_fox,NA
58,wolverine,NA
