class_ID,group_name,contains1,contains2,contains3,contains4,contains5,contains6,contains7,contains8,contains9,contains10,contains11,contains12,contains13,contains14,contains15,contains16,contains17,more_details,
0,Moose,Alces alces,,,,,,,,,,,,,,,,,NA,
1,Cow,Bos taurus,cows,cattle,,,,,,,,,,,,,,,NA,
2,california_quail,Callipepla californica,california quail,quail,,,,,,,,,,,,,,,NA,
3,coyote,Canis latrans,coyotes,,,,,,,,,,,,,,,,NA,
4,Elk,Cervus canadensis,elks,,,,,,,,,,,,,,,,NA,
5,american_marten,Martes americana,marten,american marten,,,,,,,,,,,,,,,NA,
6,American_crow,Corvus brachyrhynchos,crow,American crow,crows,,,,,,,,,,,,,,NA,
7,armadillo,Cingulata,armadillos,,,,,,,,,,,,,,,,,NA
8,wild_turkey,Meleagris gallopavo,wild turkey,turkey,,,,,,,,,,,,,,,NA,
9,opossum,Didelphimorphia,possums,,,,,,,,,,,,,,,,NA,
10,horse,Equus ferus,domestic horse,horses,,,,,,,,,,,,,,,Equus ferus (domestic horse),
11,human,Homo sapiens,people,person,humans,,,,,,,,,,,,,,,NA
12,sylvilagus_family,Sylvilagus,dessert cottontail,eastern cottontail,mountain cottontail,rabbit,,,,,,,,,,,,,desert cottontail; eastern cottontail; mountain cottontail; unk rabbit,
13,bobcat,Lynx rufus,bobcats,,,,,,,,,,,,,,,,NA,
14,striped_skunk,Mephitis mephitis,striped skunk,skunk,skunks,,,,,,,,,,,,,,NA,
15,dog,Canis familiaris,dogs,canis,,,,,,,,,,,,,,,NA,
16,cricetidae_muridae_families,Cricedidae,Muridae,Cricetids,Murids,vole,packrat,woodrat,mouse,,,,,,,rat,,,unk vole; packrat/woodrat; unk deer mouse; bushy-tailed woodrat; muskrat; unk mouse; black rat,
17,mule_deer,Odocoileus hemionus,mule deer,,,,,,,,,,,,,,,,NA,
18,white-tailed_deer,Odocoileus virginianus,white-tailed deer,white tailed deer,virginia deer,,,,,,,,,,,,,,NA,
19,raccoon,Procyon lotor,raccoon,raccoons,,,,,,,,,,,,,,,NA,
20,mtn_lion,Puma concolor,puma,mountain lion,mntn lion,mtn lion,,,,,,,,,,,,,NA,
21,california_ground_squirrel,Otospermophilus beecheyi,California ground squirrel,,,,,,,,,,,,,,,,NA,
22,wild_pig,Sus scrofa,wild pig,wild pigs,wild hog,hog,wild boar,boar,,,,,,,,,,,NA,
23,grey_fox,Urocyon cinereoargenteus,grey fox,gray fox,,,,,,,,,,,,,,,NA,
24,black_bear,Ursus americanus,black bear,,,,,,,,,,,,,,,,NA,
25,vehicle,,,,,,,,,,,,,,,,,,ATV; truck,
26,wolf,Canis lupus,,,,,,,,,,,,,,,,,If other pics are added this will go up to 6370,
27,empty,no animal,,,,,,,,,,,,,,,,,NA,
28,other_mustelids,Mustelidae,other mustelidae,other mustelids,other mustelid,,,,,,,,,,,,,,american badger; short-tailed weasel; long-tailed weasel; unk weasel; mink,
29,gray_jay,Perisoreus canadensis,grey jay,gray jay,,,,,,,,,,,,,,,NA,
30,donkey,Equus asinus,ass,,,,,,,,,,,,,,,,Equus africanus,
31,black-tailed_jackrabbit,Lepus californicus,black tailed jackrabbit,black-tailed jackrabbit,jackrabbit,,,,,,,,,,,,,,NA,
32,snowshoe_hare,Lepus americanus,snowshoe hair,,,,,,,,,,,,,,,,NA,
33,marmota_genus,Marmota spp.,Marmota,Marmota spp,Marmota species,,,,,,,,,,,,,,yellow-bellied marmot; woodchuck,
34,porcupine,Erethizontidae and Hystricidae,Erethizontidae, Hystricidae,,,,,,,,,,,,,,,NA,
35,grey_squirrel,Sciurus carolinensis,grey squirrel,Eastern grey squirrel,gray squirrel,Eastern gray squirrel,,,,,,,,,,,,,NA,
36,red_squirrel,Tamiasciurus hudsonicus,red squirrel,,,,,,,,,,,,,,,,NA,
37,red_fox,Vulpes vulpes,red fox,,,,,,,,,,,,,,,,NA,
38,Accipitridae_family,Accipitridae,Accipiter,golden eagle,raptor,goshawk,swainsons hawk,ferruginous hawk,hawk,,,,,,,eagle,,,golden eagle; unk accipiter; unk raptor; northern goshawk; swainson's hawk; ferruginous hawk,
39,Anatidae_family,Anatidae,Anatidae,duck,goose ,geese,swan,water bird,waterbird,,,,,,,,,,green-winged teal; blue-winged teal; unk duck,
40,Bighorn_sheep,Ovis canadensis,bighorn sheep,bighorn,,,,,,,,,,,,,,,NA,
41,black-billed_magpie,Pica hudsonia,black-billed magpie,black billed magpie,magpie,,,,,,,,,,,,,,NA,
42,black-tailed_prairie_dog,Cynomys ludovicianus,black tailed prairie dog,black-tailed prairie dog,prairie dog,,,,,,,,,,,,,,NA,
43,canada_lynx,Lynx canadensis,Canada lynx,lynx,,,,,,,,,,,,,,,NA,
44,clarks_nutcracker,Nucifraga columbiana,clark's nutcracker,clarks nutcracker,,,,,,,,,,,,,,,NA,
45,common_raven,Corvus corax,common raven,raven,,,,,,,,,,,,,,,NA,
46,Domestic_sheep,Ovis aries,sheep,domestic sheep,,,,,,,,,,,,,,,Ovis aries,
47,golden-mantled_ground_squirrel,Callospermophilus lateralis,golden-mantled ground squirrel,golden mantled ground squirrel,golden_mantled_ground_squirrel,,,,,,,,,,,,,,NA,
48,grizzly_bear,Ursus arctos horribilis,grizzly bear,grizzly,Ursus arctos,,,,,,,,,,,,,,NA,
